SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL
"Milestone 2 Writeup Due","10/21/2013 12:00 AM","10/22/2013 12:00 AM","","Milestone 2 WriteUp Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 2 Writeup Due","10/23/2013 12:00 AM","10/24/2013 12:00 AM","","Milestone 2 WriteUp Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"GOMS Evaluations","10/28/2013 12:00 AM","10/29/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-GOMs-Evaluation">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Cognitive Walkthrough","10/30/2013 12:00 AM","10/31/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Cognitive-Walkthrough">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Heuristic Evaluation","11/11/2013 12:00 AM","11/12/2013 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Heuristic-Evaluation">[readings]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 3 WriteUp Due","11/18/2013 12:00 AM","11/19/2013 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-3">[requirements]</a> <ahref="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 3 WriteUp Due","11/20/2013 12:00 AM","11/21/2013 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone-3">[requirements]</a> <ahref="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Social Responses to Technology","12/02/2013 12:00 AM","12/03/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Social-Responses-to-Technology">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Information Scent","12/02/2013 12:00 AM","12/03/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Information-Scent">[readings]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Remote Evaluation","12/04/2013 12:00 AM","12/05/2013 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Remote-Evaluation">[readings]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
